group	x	xend	y	yend
137	0.5	89075.5	-1.10924036827871	-1.10924036827871
138	89075.5	89742.5	2.49736764239772	2.49736764239772
139	89742.5	100417.5	-1.02095032844506	-1.02095032844506
140	100417.5	297915.5	0.03513537713591	0.03513537713591
141	297915.5	323937.5	1.13692241146928	1.13692241146928
142	323937.5	324604.5	4.70191904061901	4.70191904061901
143	324604.5	400000.5	1.06125450660328	1.06125450660328
144	400000.5	480067.5	0.184587616983238	0.184587616983238
145	480067.5	484070.5	-1.33117106834256	-1.33117106834256
146	484070.5	485405.5	1.5834998676926	1.5834998676926
147	485405.5	500083.5	-0.267024744431564	-0.267024744431564
148	500083.5	641534.5	0.993065205590166	0.993065205590166
149	641534.5	642869.5	-1.45704820797119	-1.45704820797119
150	642869.5	702252.5	0.908336173854299	0.908336173854299
151	702252.5	781651.5	0.0472445361394938	0.0472445361394938
152	781651.5	783653.5	1.60748979304342	1.60748979304342
153	783653.5	800000.5	-0.574251783422464	-0.574251783422464
154	0.5	89075.5	-1.10924036827871	-1.10924036827871
155	89075.5	89742.5	2.49736764239772	2.49736764239772
156	89742.5	100417.5	-1.02095032844506	-1.02095032844506
157	100417.5	297915.5	0.03513537713591	0.03513537713591
158	297915.5	323937.5	1.13692241146928	1.13692241146928
159	323937.5	324604.5	4.70191904061901	4.70191904061901
160	324604.5	400000.5	1.06125450660328	1.06125450660328
161	400000.5	480067.5	0.184587616983238	0.184587616983238
162	480067.5	483403.5	-1.46699781272221	-1.46699781272221
163	483403.5	500083.5	-0.13438327954214	-0.13438327954214
164	500083.5	582152.5	0.913942768675113	0.913942768675113
165	582152.5	585488.5	2.47775749967725	2.47775749967725
166	585488.5	641534.5	1.02054851832964	1.02054851832964
167	641534.5	642869.5	-1.45704820797119	-1.45704820797119
168	642869.5	702252.5	0.908336173854299	0.908336173854299
169	702252.5	781651.5	0.0472445361394938	0.0472445361394938
170	781651.5	783653.5	1.60748979304342	1.60748979304342
171	783653.5	800000.5	-0.574251783422464	-0.574251783422464
172	0.5	89075.5	-1.10924036827871	-1.10924036827871
173	89075.5	89742.5	2.49736764239772	2.49736764239772
174	89742.5	100417.5	-1.02095032844506	-1.02095032844506
175	100417.5	297915.5	0.03513537713591	0.03513537713591
176	297915.5	323937.5	1.13692241146928	1.13692241146928
177	323937.5	324604.5	4.70191904061901	4.70191904061901
178	324604.5	400000.5	1.06125450660328	1.06125450660328
179	400000.5	480067.5	0.184587616983238	0.184587616983238
180	480067.5	484070.5	-1.33117106834256	-1.33117106834256
181	484070.5	485405.5	1.5834998676926	1.5834998676926
182	485405.5	500083.5	-0.267024744431564	-0.267024744431564
183	500083.5	582152.5	0.913942768675113	0.913942768675113
184	582152.5	585488.5	2.47775749967725	2.47775749967725
185	585488.5	641534.5	1.02054851832964	1.02054851832964
186	641534.5	642869.5	-1.45704820797119	-1.45704820797119
187	642869.5	702252.5	0.908336173854299	0.908336173854299
188	702252.5	781651.5	0.0472445361394938	0.0472445361394938
189	781651.5	783653.5	1.60748979304342	1.60748979304342
190	783653.5	800000.5	-0.574251783422464	-0.574251783422464
191	0.5	89075.5	-1.10924036827871	-1.10924036827871
192	89075.5	89742.5	2.49736764239772	2.49736764239772
193	89742.5	100417.5	-1.02095032844506	-1.02095032844506
194	100417.5	297915.5	0.03513537713591	0.03513537713591
195	297915.5	323937.5	1.13692241146928	1.13692241146928
196	323937.5	324604.5	4.70191904061901	4.70191904061901
197	324604.5	400000.5	1.06125450660328	1.06125450660328
198	400000.5	408007.5	-0.462481419362481	-0.462481419362481
199	408007.5	480067.5	0.256484176577207	0.256484176577207
200	480067.5	484070.5	-1.33117106834256	-1.33117106834256
201	484070.5	485405.5	1.5834998676926	1.5834998676926
202	485405.5	500083.5	-0.267024744431564	-0.267024744431564
203	500083.5	582152.5	0.913942768675113	0.913942768675113
204	582152.5	585488.5	2.47775749967725	2.47775749967725
205	585488.5	641534.5	1.02054851832964	1.02054851832964
206	641534.5	642869.5	-1.45704820797119	-1.45704820797119
207	642869.5	702252.5	0.908336173854299	0.908336173854299
208	702252.5	781651.5	0.0472445361394938	0.0472445361394938
209	781651.5	783653.5	1.60748979304342	1.60748979304342
210	783653.5	800000.5	-0.574251783422464	-0.574251783422464
